LSST Auxiliary Telescope, 2021 6 25 UTC 18 31 53
: ALTAZ
: ROTNL
-30 14 40.3
209.5329046 81.5804050 209.2565411 81.6659194 351.5317168
282.4976331 83.3477486 282.2798641 83.4531805 354.5148414
172.0609017 80.8090353 171.8407798 80.8659930 346.3250898
159.4267780 73.5229885 159.2762246 73.5916104 343.6914120
213.7360761 79.0472764 213.5099607 79.1339841 349.5689014
282.0540949 74.7183736 281.9247121 74.8249110 345.7367087
343.2169607 78.4376978 343.2354855 78.5508366 349.0663998
343.4939360 80.7129210 343.4642358 80.8149035 350.6847510
038.1651022 79.4461773 038.1666233 79.5295821 349.3734023
093.5320259 83.2410863 093.4764545 83.3067307 352.4912381
176.0306709 85.1599543 175.6383099 85.2334666 354.6871267
158.7570871 20.0171106 158.6608322 20.1243662 289.2335071
;197.7155763 21.6204140 00000000nan 0000000nan 290.9969464
232.4182145 25.7613909 232.3231071 25.8696227 295.2350029
;266.9131906 26.6293091 266.8192144 26.7427535 296.0739717
;303.7863751 29.6888730 303.7046777 29.7960457 299.0989117
338.7599101 30.4523037 338.6846611 30.5509080 299.7747505
;016.1847235 35.4993267 016.1155676 35.5854620 304.7505796
051.1883155 36.0424297 051.1198086 36.1144864 305.2090714
088.4653383 40.3056060 088.3896235 40.3636640 309.4593621
123.3266054 43.3991366 123.1758811 43.5050320 312.6790252
181.1479965 41.9982535 181.0452010 42.0625888 311.2621784
225.2074167 45.3566977 225.0977492 45.4396455 314.8876942
;271.8789977 48.7774707 271.7703038 48.8850113 318.5017110
319.7490669 49.9485364 319.6650065 50.0591014 319.6091951
;359.7090027 54.1778550 359.6384815 54.2780125 323.7668279
049.8960670 58.4362313 049.8351322 58.5162150 327.9435884
093.7712796 60.1660150 093.6162999 60.2336008 329.7021283
137.9748255 65.4284118 137.8618795 65.4936783 335.0893543
233.6310593 62.9111700 233.4944279 63.0064433 332.8455699
302.6806182 67.2369860 302.5856099 67.3445589 338.0752735
011.8611864 72.6860875 011.8246993 72.7800551 342.7996101
086.7104935 79.4373610 086.6630853 79.5052314 348.9957964
084.9480343 81.1793088 084.9139807 81.2471982 001.4596357
224.2658165 56.3559239 224.1351989 56.4410450 353.3412372
147.5046173 40.9473088 147.4149955 40.9797011 357.5441132
260.1683634 54.0232577 260.0513852 54.1179758 322.7993184
259.2836130 51.5255990 259.1669324 51.6249366 319.5307325
257.9965615 47.9297030 257.8968077 48.0132874 314.8396263
255.1790274 40.2966548 255.0880518 40.3744237 355.2826113
END
